match_id,tournament,match_date,team1_name,team2_name,odds_team1_decimal,odds_team2_decimal,odds_team1_american,odds_team2_american,score_team1,score_team2,winner,player_ids_team1,player_ids_team2,patch,match_type,scrape_date,result,wins_team_1,wins_team_2,n_games,first_game_start,last_game_start,composition_team1,composition_team2,favorite_won,betting_implied_prob,team_1_won,estimated_probability,kelly_team1,kelly_team2,bet_side,kelly,bet_odds,bet_win,bankroll,prev_bankroll,ret,logret,cutoff
"8310669924, 8310729419, 8310784696",Dota 2 DreamLeague Season 26,2025-05-27,Betboom Team,Gaimin Gladiators,1.72992700729927,2,-137,100,NA,NA,1,NA,NA,58,NA,2025-05-27,2 - 1,2,1,3,2025-05-27T20:19:39Z,2025-05-27T22:32:48Z,165564598_172099728_196878136_317880638_480412663,16497807_93817671_97590558_171262902_221666230,TRUE,0.5362035225048923,1,0.5606035956175468,0,0,0,0,1,NA,100,100,0,0,2025-05-26
"8311170339, 8311243348",Dota 2 DreamLeague Season 26,2025-05-28,Aurora,Yakult's Brothers,1.4291845493562232,2.65,-233,165,NA,NA,1,NA,NA,58,NA,2025-05-27,2 - 0,2,0,2,2025-05-28T09:25:45Z,2025-05-28T10:41:15Z,108958769_124801257_256156323_431770905_858106446,101259972_139031324_168028715_202217968_207829314,TRUE,0.6496396443789784,1,0.5088203279933375,0,0.1828037156470639,2,0.1828037156470639,2.65,FALSE,81.71962843529361,100,-0.18280371564706385,-0.2018759628515813,2025-05-26
"8311713871, 8311804395, 8311876769",Dota 2 DreamLeague Season 26,2025-05-28,Gaimin Gladiators,Team Liquid,1.78125,1.925925925925926,-128,-108,NA,NA,1,NA,NA,58,NA,2025-05-27,2 - 1,2,1,3,2025-05-28T17:00:03Z,2025-05-28T19:02:00Z,16497807_93817671_97590558_171262902_221666230,54580962_77490514_126212866_152455523_201358612,TRUE,0.5195129566031845,1,0.6533399584745416,0.2096151053219549,0,1,0.2096151053219549,1.78125,TRUE,95.10218196758666,81.71962843529361,0.16376180103277732,0.15165769007998262,2025-05-26
"8311967971, 8312016561",Dota 2 DreamLeague Season 26,2025-05-28,Nigma Galaxy,Parivision,5.25,1.11001100110011,425,-909,NA,NA,2,NA,NA,58,NA,2025-05-27,0 - 2,0,2,2,2025-05-28T20:17:13Z,2025-05-28T21:18:00Z,9403474_101356886_111620041_140297552_206642367,56351509_73401082_106573901_164199202_1044002267,TRUE,0.17452972972972974,0,0.2988316316927232,0.13385083914983453,0,1,0.13385083914983453,5.25,FALSE,82.37267510624493,95.10218196758666,-0.1338508391498345,-0.1436981440850357,2025-05-26
"8311326705, 8311455452, 8311549729",Dota 2 DreamLeague Season 26,2025-05-28,Talon Esports,Betboom Team,2.7,1.4,170,-250,NA,NA,1,NA,NA,58,NA,2025-05-27,2 - 1,2,1,3,2025-05-28T12:25:00Z,2025-05-28T14:56:00Z,126842529_152859296_184950344_301750126_375507918,165564598_172099728_196878136_317880638_480412663,FALSE,0.3414634146341463,1,0.36696188956736203,0,0,0,0,1,NA,82.37267510624493,82.37267510624493,0,0,2025-05-26
"8311170339, 8311243348",Dota 2 DreamLeague Season 26,2025-05-28,Aurora,Yakult's Brothers,1.4,2.73,-250,173,NA,NA,1,NA,NA,58,NA,2025-05-28,2 - 0,2,0,2,2025-05-28T09:25:45Z,2025-05-28T10:41:15Z,108958769_124801257_256156323_431770905_858106446,101259972_139031324_168028715_202217968_207829314,TRUE,0.6610169491525424,1,0.5088203279933375,0,0.19706387547872165,2,0.19706387547872165,2.73,FALSE,66.13999651625869,82.37267510624493,-0.19706387547872153,-0.21948011425004196,2025-05-26
"8311713871, 8311804395, 8311876769",Dota 2 DreamLeague Season 26,2025-05-28,Gaimin Gladiators,Team Liquid,1.8,1.9615384615384617,-125,-104,NA,NA,1,NA,NA,58,NA,2025-05-28,2 - 1,2,1,3,2025-05-28T17:00:03Z,2025-05-28T19:02:00Z,16497807_93817671_97590558_171262902_221666230,54580962_77490514_126212866_152455523_201358612,TRUE,0.5214723926380368,1,0.6533399584745416,0.22001490656771872,0,1,0.22001490656771872,1.8,TRUE,77.78142463938981,66.13999651625869,0.17601192525417503,0.16212898994727806,2025-05-26
"8311967971, 8312016561",Dota 2 DreamLeague Season 26,2025-05-28,Nigma Galaxy,Parivision,4.92,1.1499250374812593,392,-667,NA,NA,2,NA,NA,58,NA,2025-05-28,0 - 2,0,2,2,2025-05-28T20:17:13Z,2025-05-28T21:18:00Z,9403474_101356886_111620041_140297552_206642367,56351509_73401082_106573901_164199202_1044002267,TRUE,0.18944633259563703,0,0.2988316316927232,0.11996214998168321,0,1,0.11996214998168321,4.92,FALSE,68.45059771101035,77.78142463938981,-0.11996214998168316,-0.12779036105039707,2025-05-26
"8311326705, 8311455452, 8311549729",Dota 2 DreamLeague Season 26,2025-05-28,Talon Esports,Betboom Team,3.06,1.3401360544217686,206,-294,NA,NA,1,NA,NA,58,NA,2025-05-28,2 - 1,2,1,3,2025-05-28T12:25:00Z,2025-05-28T14:56:00Z,126842529_152859296_184950344_301750126_375507918,165564598_172099728_196878136_317880638_480412663,FALSE,0.3045669583500819,1,0.36696188956736203,0.059661835959285404,0,1,0.059661835959285404,3.06,TRUE,76.863407674825993,68.45059771101035,0.12290338207612814,0.1159176365039477,2025-05-26
"8312893959, 8313000571, 8313079694",Dota 2 DreamLeague Season 26,2025-05-29,Aurora,Nigma Galaxy,1.3802281368821292,2.75,-263,175,NA,NA,2,NA,NA,58,NA,2025-05-27,1 - 2,1,2,3,2025-05-29T15:25:00Z,2025-05-29T17:42:00Z,108958769_124801257_256156323_431770905_858106446,9403474_101356886_111620041_140297552_206642367,FALSE,0.6658227848101266,0,0.524278409894725,0,0.17613392730828936,2,0.17613392730828936,2.75,TRUE,100.55535192994012,76.863407674825993,0.3082343727895064,0.26867842107329215,2025-05-26
