match_id,split
7817147650,excluded by pro_n_threshold
7963342401,excluded by pro_n_threshold
7543485221,latent_skill_model
8199357809,latent_skill_model
8204784368,excluded by pro_n_threshold
8071802447,latent_skill_model
7711314728,excluded by pro_n_threshold
8257685962,excluded by pro_n_threshold
7579664837,latent_skill_model
7991341746,excluded by pro_n_threshold
7560749784,excluded by pro_n_threshold
8169225518,latent_skill_model
7349396406,excluded by pro_n_threshold
8142193291,excluded by pro_n_threshold
8247504810,excluded by pro_n_threshold
8283297432,excluded by pro_n_threshold
8300812654,excluded by pro_n_threshold
8305904584,excluded by pro_n_threshold
7520703623,excluded by pro_n_threshold
8100981983,excluded by pro_n_threshold
8250242523,excluded by pro_n_threshold
8409192802,excluded by pro_n_threshold
8383565145,excluded by date cutoff
8354480694,excluded by date cutoff
7221853023,excluded by pro_n_threshold
7908432751,excluded by pro_n_threshold
7121449522,excluded by pro_n_threshold
7765886918,excluded by pro_n_threshold
7298163342,latent_skill_model
8388798465,excluded by date cutoff
7122346594,latent_skill_model
8126160527,excluded by pro_n_threshold
8177511519,excluded by pro_n_threshold
7793420133,excluded by pro_n_threshold
7967684395,excluded by pro_n_threshold
7289887554,excluded by pro_n_threshold
7421918248,excluded by pro_n_threshold
7926635772,excluded by pro_n_threshold
7829375939,excluded by pro_n_threshold
7489330910,latent_skill_model
8084468932,excluded by pro_n_threshold
8085294675,excluded by pro_n_threshold
7212941275,latent_skill_model
8134886037,latent_skill_model
7571810884,latent_skill_model
8384178136,excluded by pro_n_threshold
7647260200,excluded by pro_n_threshold
7788127133,excluded by pro_n_threshold
7992599265,excluded by pro_n_threshold
7987283140,excluded by pro_n_threshold
7958007459,latent_skill_model
7366044430,excluded by pro_n_threshold
8011645344,excluded by pro_n_threshold
7640798832,latent_skill_model
7076303673,excluded by pro_n_threshold
7663736571,latent_skill_model
7352725274,latent_skill_model
7466929496,latent_skill_model
8322223244,excluded by pro_n_threshold
7546600677,latent_skill_model
8116596049,excluded by pro_n_threshold
8305141153,excluded by pro_n_threshold
8345184423,excluded by pro_n_threshold
7231980580,latent_skill_model
7824387976,excluded by pro_n_threshold
7746738193,latent_skill_model
7439662410,excluded by pro_n_threshold
7228164170,excluded by pro_n_threshold
7450509862,excluded by pro_n_threshold
8301910101,excluded by pro_n_threshold
8178416582,latent_skill_model
8057591117,excluded by pro_n_threshold
7595648874,latent_skill_model
8383923555,excluded by date cutoff
7363895461,excluded by pro_n_threshold
8012367530,excluded by pro_n_threshold
7152048559,excluded by pro_n_threshold
8255395249,excluded by pro_n_threshold
7371363139,excluded by pro_n_threshold
7995852162,excluded by pro_n_threshold
7460827472,excluded by pro_n_threshold
7568397525,excluded by pro_n_threshold
7560696276,excluded by pro_n_threshold
7073423127,excluded by pro_n_threshold
7230127565,excluded by pro_n_threshold
8076595121,latent_skill_model
7444575378,latent_skill_model
7065208140,latent_skill_model
7875244701,excluded by pro_n_threshold
8091274076,latent_skill_model
7611089887,latent_skill_model
8407516663,excluded by pro_n_threshold
7342804111,excluded by pro_n_threshold
8143896430,excluded by pro_n_threshold
7307656070,excluded by pro_n_threshold
7963459698,latent_skill_model
7200801272,excluded by pro_n_threshold
7631176961,latent_skill_model
7093920918,excluded by pro_n_threshold
8127035742,excluded by pro_n_threshold
7954821883,excluded by pro_n_threshold
8049799501,excluded by pro_n_threshold
7476300804,excluded by pro_n_threshold
7126681490,excluded by pro_n_threshold
7405025087,excluded by pro_n_threshold
7143263798,excluded by pro_n_threshold
7133019590,latent_skill_model
7971537016,excluded by pro_n_threshold
7829503693,excluded by pro_n_threshold
7937578059,excluded by pro_n_threshold
8264190963,excluded by pro_n_threshold
7781793123,excluded by pro_n_threshold
7870961332,excluded by pro_n_threshold
7873865419,latent_skill_model
8384211412,excluded by date cutoff
7224478116,latent_skill_model
8123366500,excluded by pro_n_threshold
7826786459,latent_skill_model
8225914508,excluded by pro_n_threshold
7362094069,latent_skill_model
7756299375,latent_skill_model
7507808626,excluded by pro_n_threshold
8365249264,excluded by pro_n_threshold
7511774965,excluded by pro_n_threshold
8239124845,excluded by pro_n_threshold
7434894200,excluded by pro_n_threshold
8047862796,excluded by pro_n_threshold
7916854963,excluded by pro_n_threshold
8226471953,latent_skill_model
7787312932,excluded by pro_n_threshold
8239090374,latent_skill_model
8084385668,excluded by pro_n_threshold
7341965980,excluded by pro_n_threshold
8393250756,excluded by pro_n_threshold
7197219113,excluded by pro_n_threshold
7845908047,latent_skill_model
8033738739,excluded by pro_n_threshold
7830253372,excluded by pro_n_threshold
8047969650,excluded by pro_n_threshold
8375205013,excluded by date cutoff
8047921528,excluded by pro_n_threshold
8057024084,latent_skill_model
8370005423,excluded by pro_n_threshold
7205003412,excluded by pro_n_threshold
7447079550,excluded by pro_n_threshold
7451606730,latent_skill_model
8341915838,excluded by pro_n_threshold
7556142732,excluded by pro_n_threshold
8050082573,excluded by pro_n_threshold
7745418938,excluded by pro_n_threshold
8404105244,excluded by date cutoff
7793610990,excluded by pro_n_threshold
7897337092,excluded by pro_n_threshold
8171801104,latent_skill_model
8331612816,excluded by pro_n_threshold
7727537064,excluded by pro_n_threshold
7394202585,excluded by pro_n_threshold
8207227338,latent_skill_model
8236801579,excluded by pro_n_threshold
8274308724,latent_skill_model
7647660244,excluded by pro_n_threshold
7928893443,excluded by pro_n_threshold
7675845862,excluded by pro_n_threshold
8111691558,latent_skill_model
7384021535,latent_skill_model
8083972435,excluded by pro_n_threshold
8304277458,excluded by pro_n_threshold
7271281154,excluded by pro_n_threshold
8265579101,excluded by pro_n_threshold
7199607314,excluded by pro_n_threshold
8354490100,excluded by pro_n_threshold
7470798455,excluded by pro_n_threshold
8145083941,excluded by pro_n_threshold
8384548973,excluded by pro_n_threshold
7964399229,latent_skill_model
7538702162,latent_skill_model
8302986791,excluded by pro_n_threshold
8373823697,excluded by pro_n_threshold
7242396350,excluded by pro_n_threshold
7153780438,excluded by pro_n_threshold
7474712059,latent_skill_model
8109268555,excluded by pro_n_threshold
7097135222,latent_skill_model
7125590814,latent_skill_model
8395802640,excluded by date cutoff
8040092070,latent_skill_model
7218810646,excluded by pro_n_threshold
8237587729,excluded by pro_n_threshold
7450975433,latent_skill_model
8337182008,excluded by pro_n_threshold
7606584250,excluded by pro_n_threshold
7520711758,excluded by pro_n_threshold
8160305151,excluded by pro_n_threshold
7254669802,excluded by pro_n_threshold
7599079114,excluded by pro_n_threshold
7438208919,excluded by pro_n_threshold
7063178476,latent_skill_model
7994984397,excluded by pro_n_threshold
7272348778,latent_skill_model
7085285226,excluded by pro_n_threshold
8291449784,latent_skill_model
7336574813,excluded by pro_n_threshold
8217919361,excluded by pro_n_threshold
7107683476,excluded by pro_n_threshold
8329486947,excluded by date cutoff
8377585277,excluded by pro_n_threshold
7819133362,latent_skill_model
7975339818,excluded by pro_n_threshold
7610392575,excluded by pro_n_threshold
7897698784,excluded by pro_n_threshold
8327492817,excluded by date cutoff
8232044867,excluded by pro_n_threshold
8385943941,excluded by pro_n_threshold
7634670332,excluded by pro_n_threshold
7778263489,excluded by pro_n_threshold
7220828286,excluded by pro_n_threshold
7242384109,excluded by pro_n_threshold
7322730107,excluded by pro_n_threshold
7556255807,excluded by pro_n_threshold
7655437581,excluded by pro_n_threshold
7364422119,excluded by pro_n_threshold
8246081927,latent_skill_model
7364906023,latent_skill_model
8311432368,excluded by pro_n_threshold
8411800924,excluded by date cutoff
7558990747,excluded by pro_n_threshold
7559476774,latent_skill_model
7924664200,latent_skill_model
8236217865,excluded by pro_n_threshold
7536246124,excluded by pro_n_threshold
7167533134,excluded by pro_n_threshold
8030350265,excluded by pro_n_threshold
7435569531,latent_skill_model
8367276493,excluded by pro_n_threshold
7294874671,excluded by pro_n_threshold
7580657378,excluded by pro_n_threshold
8053676494,latent_skill_model
8312105932,excluded by date cutoff
8333921516,excluded by pro_n_threshold
7465027435,excluded by pro_n_threshold
8276749302,excluded by pro_n_threshold
7906496866,latent_skill_model
8126676320,excluded by pro_n_threshold
8310426966,excluded by pro_n_threshold
8384314992,excluded by pro_n_threshold
8119886593,excluded by pro_n_threshold
7794160881,latent_skill_model
8336928219,excluded by date cutoff
8196979924,excluded by pro_n_threshold
8083008165,latent_skill_model
8245380397,excluded by pro_n_threshold
7579007150,excluded by pro_n_threshold
7884987952,excluded by pro_n_threshold
7730085816,excluded by pro_n_threshold
7140974929,excluded by pro_n_threshold
7918329001,latent_skill_model
8380310340,excluded by pro_n_threshold
7420278988,excluded by pro_n_threshold
7119695715,latent_skill_model
7940976869,excluded by pro_n_threshold
7344487666,excluded by pro_n_threshold
7484307570,excluded by pro_n_threshold
8319417374,excluded by pro_n_threshold
8373966510,excluded by pro_n_threshold
7257857487,excluded by pro_n_threshold
7700506636,excluded by pro_n_threshold
7582831124,latent_skill_model
7439719364,excluded by pro_n_threshold
7159230776,latent_skill_model
7670929002,latent_skill_model
7195029515,latent_skill_model
8237931836,latent_skill_model
7241485071,excluded by pro_n_threshold
8119077940,latent_skill_model
7114627977,excluded by pro_n_threshold
8332367089,excluded by pro_n_threshold
8023073081,excluded by pro_n_threshold
7068414295,excluded by pro_n_threshold
8235114139,excluded by pro_n_threshold
7151472181,excluded by pro_n_threshold
7960279205,latent_skill_model
7128849586,excluded by pro_n_threshold
7201324686,excluded by pro_n_threshold
7453877264,excluded by pro_n_threshold
7468940335,excluded by pro_n_threshold
7896681967,excluded by pro_n_threshold
7551401763,excluded by pro_n_threshold
7799190699,excluded by pro_n_threshold
7271067251,latent_skill_model
7200460746,excluded by pro_n_threshold
8180707977,excluded by pro_n_threshold
7791749419,excluded by pro_n_threshold
7386244096,latent_skill_model
8185076332,excluded by pro_n_threshold
7749252699,excluded by pro_n_threshold
8172349211,excluded by pro_n_threshold
7958617492,latent_skill_model
7914781164,latent_skill_model
7958719374,excluded by pro_n_threshold
7899359738,latent_skill_model
7553960075,excluded by pro_n_threshold
7315796422,excluded by pro_n_threshold
7338863381,excluded by pro_n_threshold
7637554789,excluded by pro_n_threshold
7966938419,excluded by pro_n_threshold
8239952095,excluded by pro_n_threshold
7942532440,excluded by pro_n_threshold
7737922508,excluded by pro_n_threshold
7827541724,latent_skill_model
8401336916,excluded by pro_n_threshold
7572412079,latent_skill_model
8207439622,latent_skill_model
7798235824,excluded by pro_n_threshold
8172678842,excluded by pro_n_threshold
7882716953,excluded by pro_n_threshold
7337431854,excluded by pro_n_threshold
7283255571,latent_skill_model
7280122125,excluded by pro_n_threshold
8292034148,latent_skill_model
7476430501,excluded by pro_n_threshold
7313825103,excluded by pro_n_threshold
8243812286,excluded by pro_n_threshold
7484425477,excluded by pro_n_threshold
7600853497,excluded by pro_n_threshold
